State,Date,Cases,Recovered,Active,Deaths
Uttar Pradesh,23/08/2021,1709119,1685954,373,22792
West Bengal,23/08/2021,1542986,1515161,9461,18364
Andaman and Nicobar Islands,24/08/2021,7559,7420,10,129
Andhra Pradesh,24/08/2021,2003342,1975448,14159,13735
Arunachal Pradesh,24/08/2021,52308,50887,1162,259
Assam,24/08/2021,585134,571552,7995,5587
Bihar,24/08/2021,725596,715834,112,9650
Chandigarh,24/08/2021,65068,64220,36,812
Chhattisgarh,24/08/2021,1004183,989920,709,13554
Dadra and Nagar Haveli and Daman and Diu,24/08/2021,10659,10651,4,4
Delhi,24/08/2021,1437334,1411881,374,25079
Goa,24/08/2021,173221,169160,875,3186
Gujarat,24/08/2021,825316,815066,171,10079
Haryana,24/08/2021,770362,760026,668,9668
Himachal Pradesh,24/08/2021,211979,206375,2030,3574
Jammu and Kashmir,24/08/2021,324295,318838,1054,4403
Jharkhand,24/08/2021,347748,342451,165,5132
Karnataka,24/08/2021,2939767,2882331,20281,37155
Kerala,24/08/2021,3827688,3653008,155096,19584
Ladakh,24/08/2021,20499,20229,63,207
Lakshadweep,24/08/2021,10317,10238,28,51
Madhya Pradesh,24/08/2021,792104,781504,84,10516
Maharashtra,24/08/2021,6428294,6238794,53433,136067
Manipur,24/08/2021,111212,105751,3706,1755
Meghalaya,24/08/2021,74070,69859,2930,1281
Mizoram,24/08/2021,53317,46789,6328,200
Nagaland,24/08/2021,29622,28096,916,610
Odisha,24/08/2021,1001698,986334,7938,7426
Puducherry,24/08/2021,122934,120330,796,1808
Punjab,24/08/2021,600292,583518,421,16353
Rajasthan,24/08/2021,954030,944917,159,8954
Sikkim,24/08/2021,29340,27466,1507,367
Tamil Nadu,24/08/2021,2602489,2548868,18887,34734
Telangana,24/08/2021,655343,645174,6308,3861
Tripura,24/08/2021,82260,80335,1135,790
Uttarakhand,24/08/2021,342771,335081,313,7377
Uttar Pradesh,24/08/2021,1709126,1685972,362,22792
West Bengal,24/08/2021,1543496,1515789,9336,18371
Andaman and Nicobar Islands,25/08/2021,7560,7421,10,129
Andhra Pradesh,25/08/2021,2004590,1977163,13677,13750
Arunachal Pradesh,25/08/2021,52409,51023,1127,259
Assam,25/08/2021,585689,572084,8005,5600
Bihar,25/08/2021,725605,715853,102,9650
Chandigarh,25/08/2021,65069,64222,35,812
Chhattisgarh,25/08/2021,1004230,990022,653,13555
Dadra and Nagar Haveli and Daman and Diu,25/08/2021,10659,10651,4,4
Delhi,25/08/2021,1437485,1411995,411,25079
Goa,25/08/2021,173357,169239,932,3186
Gujarat,25/08/2021,825330,815091,160,10079
Haryana,25/08/2021,770380,760047,664,9669
Himachal Pradesh,25/08/2021,212260,206628,2054,3578
Jammu and Kashmir,25/08/2021,324420,318961,1055,4404
Jharkhand,25/08/2021,347755,342470,153,5132
Karnataka,25/08/2021,2941026,2884032,19810,37184
Kerala,25/08/2021,3851984,3672357,159870,19757
Ladakh,25/08/2021,20500,20238,55,207
Lakshadweep,25/08/2021,10318,10239,28,51
Madhya Pradesh,25/08/2021,792109,781509,84,10516
Maharashtra,25/08/2021,6432649,6243034,53260,136355
Manipur,25/08/2021,111598,106229,3610,1759
Meghalaya,25/08/2021,74232,70127,2820,1285
Mizoram,25/08/2021,54057,47192,6664,201
Nagaland,25/08/2021,29669,28170,888,611
Odisha,25/08/2021,1002323,987369,7461,7493
Puducherry,25/08/2021,123007,120433,765,1809
Punjab,25/08/2021,600342,583564,423,16355
Rajasthan,25/08/2021,954040,944958,128,8954
Sikkim,25/08/2021,29477,27562,1548,367
Tamil Nadu,25/08/2021,2604074,2550710,18603,34761
Telangana,25/08/2021,655732,645594,6276,3862
Tripura,25/08/2021,82384,80480,1113,791
Uttarakhand,25/08/2021,342786,335099,310,7377
Uttar Pradesh,25/08/2021,1709152,1686006,352,22794
West Bengal,25/08/2021,1544109,1516509,9217,18383
